product_id,description
1,"compact wireless mouse with Bluetooth, ergonomic design, and rechargeable battery"
2,"portable smartphone with OLED display, 5G connectivity, and 128GB storage"
3,"gaming laptop with Intel i9 processor, 16GB RAM, and GTX 1660 Ti graphics"
4,"Bluetooth speaker with deep bass, waterproof, and 20-hour battery life"
5,"smartwatch with fitness tracking, GPS, and customizable bands"
6,"4K UHD smart TV with HDR support, voice control, and streaming apps"
7,"compact digital camera with 24MP sensor, HD video, and touchscreen display"
8,"fitness tracker with heart rate monitor, sleep tracking, and step counter"
9,"tablet with high-resolution display, lightweight design, and long battery life"
10,"power bank with 10,000mAh capacity, dual USB output, and fast charging"
11,"ergonomic wireless keyboard, Bluetooth connectivity, and long battery life"
12,"noise-cancelling Bluetooth headphones, foldable design, and high audio quality"
13,"smart thermostat with Wi-Fi connectivity and energy-saving mode"
14,"compact home security camera with motion detection and night vision"
15,"gaming headset with surround sound, adjustable microphone, and RGB lighting"
16,"portable air purifier with HEPA filter and silent operation"
17,"robot vacuum cleaner with automatic charging and app control"
18,"smart speaker with voice assistant and multi-room audio support"
19,"LED desk lamp with adjustable brightness, touch controls, and USB charging port"
20,"portable hard drive with 2TB capacity, USB 3.0, and durable design"
